f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71
1,0.192932461,22.67134431,-442.735275,1.011178631,59.12459404,-460.1864509,63.0367491,9.022866001,373.6026042,-12.18569407,62.39687113,72.64682666,83.40415573,69.34382684,-0.093510012,13.32936675,-51.50285007,52.16273503,41.99763461,38.81593218,58.25730423,0.307108969,7.238533322,-48.43750116,52.57403542,52.48497769,47.20499266,55.93105284,-0.187732133,67.2986613,-361.9813001,0.05066479,67.37008007,-634.8861056,47.58312936,0.04194939,63.34950333,-318.7799861,-0.056134341,48.62101641,-449.547349,45.76107176,0.176404628,38.25366669,-35.75413756,59.75288931,50.15039291,63.38487996,56.95589226,0.120367623,15.62740145,-581.225207,0.446020962,47.92946629,-1074.317699,58.26797599,1.594512307,131.7518153,-887.1217798,-0.308117322,33.90556039,-1209.432566,41.3843119,0.781084191,36.38628387,-364.0108433,1.043708056,65.0260855,-777.3598639,64.52853729
2,0.203275321,22.68294525,-442.00238,0.908216982,50.23503298,-450.2014062,63.3264694,9.066432982,374.6798472,-2.180185725,66.29992659,72.27518468,82.29351005,72.93496671,-0.065919081,13.34925006,-51.88968421,49.46813577,40.62589687,51.13784812,57.8648606,0.287526126,7.257933315,-55.09559146,51.26146142,47.05680395,36.69516716,53.09610027,-0.201530516,67.1950414,-417.5191675,-0.385380651,67.09790542,-600.8629785,45.68207065,0.020443589,63.30317103,-315.9939973,-0.285912338,42.85395772,-471.9525124,47.47724428,0.170415675,38.2626667,-46.92735882,56.9158054,40.80262665,62.50446971,52.17572486,0.109814766,15.64367345,-593.2086253,-0.112150895,38.73890626,-1113.758901,50.67187083,1.421462057,131.843306,-891.1856227,-0.276096861,26.15310185,-1503.555986,38.64278794,0.789114958,36.50431722,-350.9068845,0.67814908,64.16148485,-767.2495824,70.90792814
3,0.207079313,22.70393759,-456.8330318,1.063596363,49.69769102,-466.2995427,61.65294612,9.199670056,375.834668,-0.792062927,67.12860566,78.38703487,83.80682163,76.22040152,-0.060103707,13.36026675,-65.69264481,50.38965646,40.92704563,67.51797837,50.74784246,0.249282875,7.273066648,-96.41696391,40.64268454,37.46990093,31.76769132,37.93551586,-0.279777585,67.0769043,-482.3276834,-1.076002876,60.06333175,-590.1909975,37.06341235,0.010088031,63.24847628,-314.1366434,-0.24280117,49.31378974,-469.8688609,48.72525005,0.165376895,38.29200007,-45.81001539,58.21255266,41.88460397,56.45724339,52.63441933,0.100295407,15.65719163,-593.2086253,-0.199513779,46.21215964,-1008.363121,50.67187083,1.34031188,131.9881755,-933.0386453,-0.024558864,27.3933654,-1733.961948,50.15771779,0.765352457,36.61587906,-358.3503866,0.596589326,70.98764617,-776.687385,62.7138457
4,0.225695381,22.7465367,-436.1369021,1.606422307,57.34224558,-565.6710129,69.96482335,9.756586014,376.9838175,-0.264310649,72.12327767,79.27557728,89.75450865,82.83885863,-0.036275681,13.37793341,-49.67341003,55.29642639,49.72827589,78.67000433,57.51767376,0.252217271,7.305599976,-23.4527834,49.89970252,47.68143789,35.99894596,61.20946854,-0.305229069,66.96223373,-466.2172314,-0.458017114,44.92274588,-577.1119073,42.88734542,-0.023704733,63.17695376,-382.7371321,-1.049527476,52.63344236,-477.0562742,44.12734413,0.188262493,38.32066676,-25.69825973,60.45161289,40.71139911,54.58096168,60.50230538,0.11985187,15.68172471,-496.5914971,0.684310874,53.8913612,-786.1080216,68.04898559,1.22641212,132.1466848,-987.3888792,0.038377379,34.70624764,-1910.138559,45.29124268,0.773322116,36.72174657,-402.8723316,1.152458186,71.15118689,-799.6073642,69.52588543
4,0.225695381,22.7465367,-436.1369021,1.606422307,57.34224558,-565.6710129,69.96482335,9.756586014,376.9838175,-0.264310649,72.12327767,79.27557728,89.75450865,82.83885863,-0.036275681,13.37793341,-49.67341003,55.29642639,49.72827589,78.67000433,57.51767376,0.252217271,7.305599976,-23.4527834,49.89970252,47.68143789,35.99894596,61.20946854,-0.305229069,66.96223373,-466.2172314,-0.458017114,44.92274588,-577.1119073,42.88734542,-0.023704733,63.17695376,-382.7371321,-1.049527476,52.63344236,-477.0562742,44.12734413,0.188262493,38.32066676,-25.69825973,60.45161289,40.71139911,54.58096168,60.50230538,0.11985187,15.68172471,-496.5914971,0.684310874,53.8913612,-786.1080216,68.04898559,1.22641212,132.1466848,-987.3888792,0.038377379,34.70624764,-1910.138559,45.29124268,0.773322116,36.72174657,-402.8723316,1.152458186,71.15118689,-799.6073642,69.52588543
5,0.225711773,22.7855039,-446.7527401,0.963333423,49.71561109,-731.6420805,59.96657681,9.507194787,377.9466136,-28.11651119,59.57521913,71.56388737,89.51015433,62.23637874,-0.030515525,13.37451674,-45.7512737,49.53813927,40.88239099,76.48515178,51.64678042,0.239835779,7.333599981,-47.55698555,48.15219647,56.45497068,42.82623909,53.55433785,-0.289019751,66.87296473,-457.2158933,-0.668572387,51.92356697,-549.2440378,48.39815403,-0.041162511,63.1526624,-382.8735175,-0.67929177,51.15207694,-520.0197614,46.13427821,0.186497409,38.34833349,-37.98882443,53.16907631,47.69675033,55.92951541,54.15873885,0.112839595,15.70225236,-501.3830746,0.150706081,61.35382804,-599.8775035,52.23718715,1.069561175,132.3015666,-997.9332426,-0.250538888,34.18837676,-1980.873896,38.66633805,0.718718805,36.80457675,-426.1684217,0.311352972,63.30455821,-836.7669262,53.04649867
6,0.197824832,22.81775513,-475.6162901,0.000323977,49.84921855,-851.3519409,44.48188635,9.326033292,378.9848185,-26.42025296,54.1144312,67.5334436,82.17991101,64.41501098,-0.027529505,13.3737834,-43.56436529,53.51729987,43.33273011,67.06826492,50.8047741,0.173476074,7.343466647,-88.64468209,39.23151649,42.98656669,52.55257831,32.27866739,-0.242870322,66.80621821,-448.907572,0.03719794,57.03544147,-507.6511553,53.20677025,0.028380374,63.21881472,-405.8995316,0.676412879,61.11380914,-549.1678829,61.30507242,0.148687163,38.35500018,-62.01117557,52.04477007,48.11666126,54.36334241,43.80153574,0.085091195,15.7135176,-524.043037,-0.506165522,55.6336029,-477.8899413,41.19302484,0.882441058,132.4406685,-928.7914394,-0.222527208,33.61963917,-1973.481293,33.22536907,0.645447425,36.87575874,-494.4234405,0.015334175,62.17563938,-800.6304087,47.4812229
7,0.191717288,22.85338256,-455.1083114,0.274696072,47.64827604,-826.0861504,54.1815133,9.244706962,380.0123454,-18.26434155,57.02074636,66.00808269,67.76556809,67.3721619,-0.026950381,13.37223339,-46.27411145,54.98490964,45.91518213,50.97480562,49.76897298,0.134664616,7.359933313,-71.24540957,41.78702201,45.23924299,48.32148935,40.0079182,-0.097770694,66.77026062,-419.6553193,0.867625637,57.8427976,-467.3026048,66.05674577,0.126269721,63.22977537,-391.7052967,1.009033562,60.48799842,-534.2197679,66.97598758,0.134121373,38.35133349,-50.27938914,46.25899046,48.65734619,43.99982849,49.26852231,0.070768814,15.72853785,-514.9789369,-0.030111827,55.21522977,-450.2378407,46.42130161,0.872350423,132.6531682,-940.5574457,0.064952166,33.12331576,-1869.274526,54.17843228,0.62157032,36.96480141,-508.6847417,0.12034876,62.12405849,-726.9078832,57.01998102
7,0.191717288,22.85338256,-455.1083114,0.274696072,47.64827604,-826.0861504,54.1815133,9.244706962,380.0123454,-18.26434155,57.02074636,66.00808269,67.76556809,67.3721619,-0.026950381,13.37223339,-46.27411145,54.98490964,45.91518213,50.97480562,49.76897298,0.134664616,7.359933313,-71.24540957,41.78702201,45.23924299,48.32148935,40.0079182,-0.097770694,66.77026062,-419.6553193,0.867625637,57.8427976,-467.3026048,66.05674577,0.126269721,63.22977537,-391.7052967,1.009033562,60.48799842,-534.2197679,66.97598758,0.134121373,38.35133349,-50.27938914,46.25899046,48.65734619,43.99982849,49.26852231,0.070768814,15.72853785,-514.9789369,-0.030111827,55.21522977,-450.2378407,46.42130161,0.872350423,132.6531682,-940.5574457,0.064952166,33.12331576,-1869.274526,54.17843228,0.62157032,36.96480141,-508.6847417,0.12034876,62.12405849,-726.9078832,57.01998102
8,0.158753667,22.88477745,-484.7309859,-0.497515895,47.85976227,-656.5859202,41.96261197,8.718700243,380.834668,-36.06100072,50.50704736,67.23438867,53.48576018,55.90690483,-0.048326288,13.36311671,-75.19543111,42.34434369,46.52779261,35.3458219,39.78086046,0.075120985,7.365599982,-99.2932953,35.79029916,43.22285177,35.10569894,32.26917716,0.188536857,66.82842433,-248.7912038,1.942332263,65.88714146,-407.2033251,77.54844859,0.091862113,63.18569514,-436.1403013,0.142445927,53.27555723,-482.0259412,47.03099332,0.086081376,38.33433355,-74.86030543,39.48860195,48.84726936,27.16644322,39.8876393,0.044362466,15.73404528,-530.5174177,-0.613791934,55.63754642,-452.8517527,39.4786715,0.664384915,132.7738528,-928.3913195,-0.329315554,32.69955662,-1675.448957,36.86513977,0.520824245,37.00492172,-622.6292488,-0.482465985,59.69089619,-626.32486,41.19319744
8,0.158753667,22.88477745,-484.7309859,-0.497515895,47.85976227,-656.5859202,41.96261197,8.718700243,380.834668,-36.06100072,50.50704736,67.23438867,53.48576018,55.90690483,-0.048326288,13.36311671,-75.19543111,42.34434369,46.52779261,35.3458219,39.78086046,0.075120985,7.365599982,-99.2932953,35.79029916,43.22285177,35.10569894,32.26917716,0.188536857,66.82842433,-248.7912038,1.942332263,65.88714146,-407.2033251,77.54844859,0.091862113,63.18569514,-436.1403013,0.142445927,53.27555723,-482.0259412,47.03099332,0.086081376,38.33433355,-74.86030543,39.48860195,48.84726936,27.16644322,39.8876393,0.044362466,15.73404528,-530.5174177,-0.613791934,55.63754642,-452.8517527,39.4786715,0.664384915,132.7738528,-928.3913195,-0.329315554,32.69955662,-1675.448957,36.86513977,0.520824245,37.00492172,-622.6292488,-0.482465985,59.69089619,-626.32486,41.19319744
9,0.13111831,22.90595239,-484.7309859,-0.561662626,46.64454169,-511.6300732,41.96261197,8.181673881,381.6711711,-37.32917094,47.40079253,61.00884633,40.04794383,55.1318565,-0.066557203,13.34881671,-77.85299605,40.81706465,39.03954431,22.98284442,38.95202471,0.02841165,7.375733328,-89.83871365,37.42186813,38.13255001,20.8447977,32.70328709,0.405678615,66.90668182,-249.5473654,1.950477906,60.55824445,-330.1807663,76.67098767,0.105571731,63.21295535,-420.1490413,0.39939487,46.02018673,-434.9597493,53.15392494,0.085752779,38.35100021,-48.04470226,42.59973952,49.53162577,19.59617408,51.50934002,0.020172586,15.73729954,-529.1925395,-0.591186881,50.30824229,-472.4582809,38.10860129,0.580440617,132.8960126,-1281.536844,-0.068839511,32.932688,-1484.14719,45.94080921,0.429762052,37.0427124,-449.3644422,-1.036475467,48.96946387,-548.2558288,40.13097763
