geothermal_grad_degC_m,depth_m,log10_permeability_m2,permeability_md,porosity,thickness_m
0.037,3126.2,-12.16,706.06,0.34,90
0.0317,5422.9,-11.98,1063.11,0.29,30
0.0265,4983,-15.01,0.99,0.43,10
0.0395,2575.8,-12.29,521.17,0.16,15
0.0185,2303.1,-13.61,24.67,0.04,105
0.0268,2937.5,-12.11,791.79,0.13,85
0.0424,919.3,-14.89,1.3,0.21,85
0.0411,1697.2,-12.32,481.53,0.2,90
0.0196,1154.4,-14.35,4.5,0.11,50
0.0361,3112.2,-12.52,308.18,0.22,5
0.0425,3242.8,-12.38,419.11,0.36,95
0.0338,3226.5,-14.92,1.22,0.25,105
0.0144,2998.5,-13.66,22.24,0.44,100
0.0215,4674.8,-14.36,4.41,0.27,60
0.0313,4961.3,-12.16,697.42,0.32,40
0.0218,4862.5,-14.67,2.15,0.09,75
0.0463,3395.8,-12.67,218.02,0.43,90
0.0157,5401.5,-13.13,75.43,0.05,30
0.035,1414.1,-13.57,27.15,0.14,90
0.0239,4823.4,-14.64,2.31,0.1,20
0.0191,4409.3,-14.76,1.78,0.13,35
0.0416,1946.9,-13.35,45.29,0.08,80
0.0335,4360.5,-14.55,2.87,0.15,50
0.0232,1919.2,-13.92,12.29,0.2,70
0.047,1256.6,-13.52,30.88,0.26,15
0.0419,3191.9,-14.85,1.42,0.08,105
0.0242,3653.8,-14.05,8.94,0.34,40
0.0398,3287,-12.38,424.2,0.43,55
0.0206,2906.6,-13.28,53.61,0.09,20
0.0439,4482.8,-12.49,326.04,0.44,100
0.0222,1445.3,-14.94,1.17,0.12,5
0.0199,4273.4,-14.42,3.84,0.27,110
0.0465,1886.5,-14.28,5.37,0.11,5
0.0361,1355.6,-12.43,376.97,0.4,5
0.0136,4315.7,-12.19,656.57,0.08,10
0.0283,2163.1,-14.68,2.14,0.07,70
0.0343,2965.4,-13.97,10.96,0.27,90
0.0472,4234.6,-14.15,7.1,0.19,45
0.0157,2772.8,-13.33,47.49,0.15,90
0.0408,1374,-13.81,15.84,0.41,55
0.0484,1960.8,-14.71,2,0.24,60
0.0304,3736.3,-12.4,400.24,0.41,80
0.0281,2246.9,-12.69,205.79,0.05,35
0.0203,1857.9,-14.98,1.06,0.15,40
0.0443,2840.9,-13.07,86.59,0.4,90
0.0163,5300,-14.42,3.88,0.44,70
0.0244,2484.9,-14.99,1.04,0.1,25
0.0415,5232.7,-13.81,15.74,0.36,40
0.0475,3793.5,-12.14,734.1,0.16,3
0.0181,1844,-12.7,201.87,0.14,15
0.0191,1072.2,-14.22,6.08,0.25,65
0.0256,3100.1,-12.05,904.25,0.24,90
0.0319,5179.4,-13.24,58.39,0.13,65
0.0226,2776.8,-14.29,5.21,0.37,75
0.0354,2536.1,-12.28,537.35,0.19,50
0.0237,2241.3,-13.45,36.3,0.34,110
0.0248,1795,-13.71,19.9,0.25,65
0.0301,3409.6,-12.97,108.16,0.26,60
0.0367,1564.7,-14.8,1.6,0.33,15
0.0217,4568.8,-14.98,1.07,0.39,80
0.0319,4188.1,-13.46,35.31,0.24,25
0.0336,3214.8,-13.95,11.26,0.29,100
0.0401,2195.9,-14.3,5.08,0.37,90
0.0427,2824.4,-14.34,4.61,0.16,20
0.0234,1372.7,-13.19,65.31,0.27,90
0.0155,2258.4,-14.6,2.54,0.17,30
0.0258,1380.2,-15.02,0.97,0.35,95
0.0381,4981,-13.43,37.59,0.32,100
0.0182,4215.2,-13.08,84.42,0.13,25
0.0163,1325,-12.21,624.99,0.29,110
0.0156,3651.1,-13.81,15.66,0.06,30
0.0389,2125.5,-12.16,696.66,0.22,50
0.0387,2438.2,-13.52,30.29,0.29,40
0.026,1617.2,-13.78,16.98,0.15,40
0.0284,3966.1,-12.63,239.9,0.42,55
0.02,4525.2,-14.46,3.5,0.2,55
0.0317,1843.5,-12.11,786.85,0.26,20
0.0172,4518.7,-14.63,2.4,0.17,25
0.0316,3065.4,-13.15,71.68,0.29,110
0.0156,4195.6,-13.76,17.45,0.18,105
0.049,4668.8,-13.42,38.52,0.14,50
0.0265,2939.1,-14.61,2.5,0.37,5
0.0239,2638.5,-13.71,19.94,0.17,80
0.0149,3901.3,-11.98,1066.87,0.06,30
0.0324,3973.2,-13.23,59.99,0.25,25
0.0479,2953.2,-13.37,43.71,0.2,85
0.0247,1220.9,-14.45,3.59,0.07,35
0.0137,3062.9,-13.13,74.85,0.32,85
0.0342,2897.7,-12.32,483.53,0.11,110
0.0423,4512,-12.16,694.65,0.39,50
0.0326,1850.6,-12.55,284.88,0.23,40
0.0444,1949.4,-14.94,1.17,0.43,30
0.0146,3994.2,-12.43,377.73,0.35,50
0.0347,3627.9,-14.62,2.43,0.23,105
0.0148,5441.7,-13.07,86.08,0.21,45
0.033,4932.7,-12.51,315.82,0.41,30
0.0171,3893.5,-14.52,3.05,0.23,75
0.0227,4700,-13.89,13.16,0.08,20
0.031,5087.9,-14.31,4.98,0.28,3
0.0488,3779.3,-13.59,25.77,0.31,65
0.0169,1436,-13.07,85.85,0.18,65
0.022,2567,-12.78,170.03,0.16,90
0.0203,2522.8,-13.38,41.79,0.14,35
0.0404,3348.4,-14.7,2,0.11,35
0.0376,4676.5,-14.96,1.11,0.13,5
0.0146,1896.4,-14.07,8.62,0.29,70
0.0159,1876.3,-13.96,11.02,0.38,20
0.0387,3646.4,-15.02,0.96,0.03,45
0.0453,2278.3,-12.08,846.82,0.39,80
0.0173,5059.1,-14.04,9.2,0.33,100
0.0196,5448.2,-12.1,810.53,0.32,10
0.032,2728.6,-13.76,17.52,0.42,5
0.0407,5468.9,-13.49,32.78,0.07,45
0.0347,1195.6,-14.03,9.36,0.28,105
0.019,1699.9,-12.28,525.83,0.35,110
0.0421,3398,-12.28,536.9,0.05,20
0.0331,2665.3,-14.39,4.15,0.34,25
0.0359,2308.6,-13.32,48.78,0.39,85
0.0139,2442.9,-14.63,2.37,0.33,3
0.0291,3709.7,-14.13,7.5,0.17,3
0.0167,4240.8,-13.06,88.59,0.2,105
0.0379,1214.8,-14.03,9.36,0.28,3
0.0188,2390.8,-14.8,1.59,0.12,25
0.03,2356.6,-12.26,560.59,0.27,20
0.0173,937.6,-14.1,8.03,0.33,60
0.026,4388.2,-13.47,34.08,0.25,45
0.0486,4707.9,-12.87,138.21,0.14,80
0.0278,2046.1,-13.67,21.89,0.11,70
0.027,966.6,-14.49,3.31,0.12,85
0.0218,2207.2,-14.08,8.43,0.32,90
0.0237,2774.3,-12.35,447.66,0.26,110
0.0165,1784.4,-12.68,211.24,0.32,65
0.014,5252.8,-12.72,193.38,0.26,45
0.0463,2769.5,-11.99,1035.95,0.29,40
0.0379,3356.2,-12.43,378.88,0.13,95
0.0287,2042.5,-12.5,319.74,0.17,20
0.0423,3814.3,-14.84,1.47,0.31,75
0.0338,3536.6,-12.97,109.61,0.31,105
0.042,3195.6,-14.26,5.54,0.08,80
0.0178,2002.2,-12.63,236.9,0.24,105
0.0149,4582.3,-13.82,15.42,0.34,80
0.0345,1629,-14.24,5.81,0.29,80
0.0449,2803.6,-13.97,10.91,0.09,40
0.0287,2331.2,-13.45,35.68,0.08,65
0.0241,3319.1,-14.8,1.62,0.34,70
0.0175,5345.4,-13.34,46.13,0.18,30
0.0332,2289.2,-14.52,3.06,0.13,35
0.0352,4223.1,-14.44,3.67,0.4,95
0.0144,1309.5,-13.51,31.18,0.16,110
0.0172,3386,-14.17,6.89,0.22,80
0.0381,2550.7,-12.74,184.03,0.07,95
0.0323,3363.9,-12.1,807.66,0.13,85
0.0361,3777.3,-14.24,5.81,0.37,85
0.0249,2197.2,-12.21,626.03,0.04,85
0.0483,3820,-13.16,70.66,0.18,25
0.0459,2406.1,-14.37,4.27,0.06,20
0.0477,2097.2,-13.3,50.96,0.12,5
0.0486,2154.5,-13.15,72.26,0.07,10
0.0402,2067.6,-14.26,5.56,0.11,3
0.0408,3452.1,-14.54,2.92,0.14,3
0.0207,4323.9,-12.93,118.73,0.35,60
0.0303,2686.3,-14.9,1.28,0.25,20
0.0164,2494.7,-14.08,8.4,0.21,85
0.0146,4173.6,-13.1,80.79,0.36,80
0.0481,5294,-12.28,531.69,0.17,70
0.0384,2180.7,-14.1,8.14,0.18,65
0.0467,1515.4,-14.93,1.18,0.14,55
0.0255,2226.6,-12.14,735.56,0.08,35
0.0178,4385.9,-14.14,7.33,0.14,100
0.0479,1866.5,-12.82,153.88,0.23,35
0.0261,1377.2,-14.15,7.14,0.27,30
0.0439,2852.3,-13.35,45.17,0.15,85
0.0154,3982.8,-13.64,23.1,0.36,35
0.0278,987.1,-14.41,3.92,0.18,35
0.0424,4706.3,-12.67,214.47,0.12,75
0.0238,2126.7,-13.82,15.2,0.37,60
0.0289,4516.3,-12.76,174.55,0.37,15
0.0219,4800.5,-12.84,145.9,0.2,5
0.014,3959.8,-14.22,6.14,0.13,80
0.0475,2322.7,-12.57,273.97,0.22,75
0.0307,1559,-12.68,211.72,0.22,60
0.0333,3436.7,-12.29,517.78,0.1,5
0.0388,5476.4,-13.58,26.38,0.34,100
0.0387,4224.3,-14.01,10,0.15,40
0.0232,5178,-12.22,614.59,0.27,45
0.0186,2155.5,-12.17,691.44,0.05,20
0.0283,1126,-12.14,739.89,0.14,40
0.0312,3389.9,-12.58,265.04,0.2,85
0.02,3142.8,-12.56,277.92,0.37,35
0.0425,3189.9,-13.58,26.9,0.11,3
0.0407,3322.9,-12.95,114.94,0.19,70
0.0238,1821.1,-14.52,3.07,0.26,110
0.0312,4654.2,-14.89,1.32,0.19,3
0.022,2986.9,-14.71,1.99,0.37,80
0.0143,5447.1,-12.98,107.18,0.22,15
0.0488,5499.1,-12.02,970.15,0.24,3
0.0195,4913.1,-12.97,108.8,0.15,40
0.0336,4545,-12.75,178.4,0.05,60
0.026,1611.1,-12.3,511.7,0.21,55
0.0329,3016.3,-13.36,44.34,0.09,20
0.0416,1614.9,-13.32,48.26,0.39,65
0.0451,3377.5,-13.28,53.17,0.42,25
0.0172,2233.5,-14.15,7.24,0.34,90
0.0251,2689.5,-12.55,285.57,0.31,105
0.0142,2156.8,-14.35,4.53,0.1,15
0.0311,4651.2,-13.17,68.19,0.26,3
0.0247,4138.4,-12.56,276.52,0.29,75
0.0268,3605.9,-13.51,31.27,0.42,20
0.0353,5124.7,-13.17,67.78,0.15,65
0.0251,5425.7,-13.76,17.75,0.05,110
0.0491,5049.3,-14.84,1.46,0.23,65
0.0409,4323.1,-12.79,164.19,0.04,15
0.0359,3292.2,-13.8,16.06,0.11,110
0.0294,5090.3,-14.79,1.65,0.37,80
0.0334,2120.9,-14.42,3.88,0.23,20
0.0459,5346.9,-12.88,133.47,0.23,35
0.043,1179.5,-12.71,197.78,0.27,85
0.0445,4892.9,-14.23,6.02,0.3,5
0.0428,2813.5,-13.6,25.74,0.2,55
0.0303,1306.9,-12.96,112.38,0.37,45
0.0147,942.8,-15,1.01,0.38,105
0.0227,2865.7,-14.79,1.64,0.04,105
0.0285,2527.1,-14.17,6.87,0.32,70
0.0206,4932.3,-12.45,363.64,0.04,20
0.0251,3149.6,-12.76,176.17,0.27,25
0.0331,2723.7,-12.11,778.04,0.19,75
0.0378,3537.8,-12.57,271.61,0.41,45
0.0371,2394.7,-13.85,14.15,0.07,70
0.0405,3532.2,-13.88,13.29,0.39,15
0.03,1591.7,-13.29,51.92,0.24,65
0.0175,5228.2,-12.1,812.19,0.03,75
0.0196,3150.6,-14.78,1.7,0.21,35
0.0389,1630.2,-13.47,34.14,0.1,30
0.0305,1392.1,-14.74,1.84,0.04,70
0.0345,5223.5,-14.92,1.21,0.04,100
0.0181,2872.1,-12.83,150.87,0.13,95
0.0432,3831.8,-12.43,372.71,0.35,80
0.0235,1809.8,-14.29,5.22,0.3,25
0.0305,3553.7,-14.92,1.21,0.17,15
0.032,5184.2,-13.42,38.35,0.27,55
0.0447,3290.5,-14.48,3.37,0.2,95
0.0441,960.8,-13.71,19.72,0.04,85
0.0217,1907.4,-12.55,282.41,0.44,100
0.0397,2987.8,-12.47,346.56,0.12,85
0.0402,4636.9,-13.93,11.94,0.15,65
0.0284,4395.2,-14.75,1.82,0.07,35
0.0299,1527.8,-12.38,418.54,0.16,3
0.0444,3008.3,-12.14,727.18,0.17,95
0.0192,1992.1,-14.87,1.38,0.03,25
0.0253,3800.3,-13.34,46.63,0.21,30
0.0298,5122.7,-12.1,802.34,0.2,95
0.0457,1817.8,-14.24,5.82,0.3,85
0.044,2829.5,-13.6,25.37,0.3,60
0.022,2839.9,-14.65,2.26,0.19,105
0.0236,2592.7,-13.99,10.3,0.18,60
0.0222,3580.2,-13.59,26.19,0.07,60
0.0135,1758.1,-14.11,7.82,0.24,70
0.0327,2439.8,-12.49,327.73,0.34,25
0.0431,2093.2,-13.08,83.38,0.28,105
0.0282,2362.8,-13.71,19.54,0.17,20
0.0207,4659.6,-12.55,286.52,0.17,25
0.0424,933,-12.68,209.87,0.4,3
0.0279,1037.6,-14.99,1.03,0.35,55
0.0219,4032.3,-12.51,311.87,0.03,20
0.0152,4772.5,-12.91,124.52,0.07,15
0.0455,5494.1,-14.1,8.02,0.36,3
