Name,A,B,C,Signal
Cr,0.00019396359864735563,0.6085685203738701,0.022193084098449906,B
δ53Cr,0.1851384497996651,5.8636225924896065e-16,0.06681630000129482,A
Cl-,0.002981573456898566,0.774905019227855,0.09673833387877241,B
ClO3,0.0034602504200452527,0.7628221164534233,0.10030877633493973,B
ClO4,4.417578768945007e-11,0.06564962372876236,0.5498755601401667,C
Cl36,8.829775779922962e-6,0.6573363557684698,0.6118007010390458,C
3H,0.0,0.6795185355608963,0.0655881613214666,B
δ2H,0.06841750631812989,0.8534200452248908,0.29541794249883246,B
δ18O,0.0851899323725254,0.6890631365018081,0.44281671089118135,C
NO3,0.0041092624584441705,0.6476947950845661,0.8571538116769717,C
δ15N,0.013701839520953987,1.0,0.17740995067958537,B
δ18O-NO3,0.13358177782746386,0.85620521781973,0.9882338858889218,C
SO4,0.002726400510622305,0.6857887765653865,0.12129607381825722,B
δ34S-SO4,0.20210920484379125,0.03280769173832627,0.7329570599098107,C
δ18O-SO4,0.11571635751770705,0.8489479023669582,0.37610496373201957,C
I129,0.005508811717592968,0.5210869274190411,4.943845791957059e-16,B
Dioxane,0.24541817407256458,0.24165344311341747,1.0,C
Acetam,9.837591540941685e-6,0.647749791409125,0.23219109799197205,B
Caffe,1.0,5.8636225924896065e-16,4.943845791957059e-16,A
Sulfame,0.0070686838166147715,0.6790232702781928,4.943845791957059e-16,B
